"filename", "language", "Handlebars", "Python", "JavaScript", "JSON", "CSS", "Markdown", "HTTP", "comment", "blank", "total"
"f:\Otto\Documents\week7\Balanssi1\README.md", "Markdown", 0, 0, 0, 0, 0, 63, 0, 1, 23, 87
"f:\Otto\Documents\week7\Balanssi1\actions-workouts.rest", "HTTP", 0, 0, 0, 0, 0, 0, 53, 13, 25, 91
"f:\Otto\Documents\week7\Balanssi1\app.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 49, 26, 161
"f:\Otto\Documents\week7\Balanssi1\controllers\userController.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 11, 17, 69
"f:\Otto\Documents\week7\Balanssi1\controllers\workoutController.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 6, 20, 83
"f:\Otto\Documents\week7\Balanssi1\deleteData.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 4, 5, 31
"f:\Otto\Documents\week7\Balanssi1\helpers\hbs.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 4, 3, 82
"f:\Otto\Documents\week7\Balanssi1\middleware\async.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"f:\Otto\Documents\week7\Balanssi1\middleware\ensureAuth.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"f:\Otto\Documents\week7\Balanssi1\middleware\ensureGuest.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"f:\Otto\Documents\week7\Balanssi1\models\MessageModel.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"f:\Otto\Documents\week7\Balanssi1\models\StoryModel.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"f:\Otto\Documents\week7\Balanssi1\models\userModel.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 3, 16, 152
"f:\Otto\Documents\week7\Balanssi1\models\workoutModel.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"f:\Otto\Documents\week7\Balanssi1\package.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"f:\Otto\Documents\week7\Balanssi1\public\css\Login.css", "CSS", 0, 0, 0, 0, 235, 0, 0, 4, 29, 268
"f:\Otto\Documents\week7\Balanssi1\public\css\index.css", "CSS", 0, 0, 0, 0, 748, 0, 0, 18, 140, 906
"f:\Otto\Documents\week7\Balanssi1\public\css\loader.css", "CSS", 0, 0, 0, 0, 51, 0, 0, 1, 6, 58
"f:\Otto\Documents\week7\Balanssi1\public\css\nav.css", "CSS", 0, 0, 0, 0, 275, 0, 0, 34, 52, 361
"f:\Otto\Documents\week7\Balanssi1\public\js\calendar.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"f:\Otto\Documents\week7\Balanssi1\public\js\chart.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"f:\Otto\Documents\week7\Balanssi1\public\js\dark-mode.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 10, 47
"f:\Otto\Documents\week7\Balanssi1\public\js\diary.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 5, 11, 65
